Token;Repeticiones;# de archivos
federalist;11;4
federalists;2;2
federalizing;1;1
federally;2;2
federatedinv;2;2
federation;27;20
federationcouncil;1;1
federative;1;1
federico;1;1
fedex;5;5
fedezeke;1;1
fedezekeben;1;1
fedezesere;1;1
fedezet;2;2
fedezete;1;1
fedezetenekelvonasa;1;1
fedezetet;2;2
fedezetevel;1;1
fedezeti;1;1
fedezett;1;1
fedezhet;1;1
fedezheti;1;1
fedezi;4;4
fedezik;1;1
fedezne;1;1
fedezni;3;3
fedeznie;1;1
fedezte;2;2
fedeztek;1;1
fedeztem;1;1
fedezzek;1;1
fedezzunk;2;1
fedi;2;1
fedik;1;1
fedoneve;1;1
fedonevu;1;1
fedonevvel;1;1
fedorov;1;1
fedoszervei;1;1
fedoszerven;1;1
fedotov;6;2
fedservco;1;1
fee;31;20
feed;13;7
feedback;21;16
feedbacks;1;1
feeding;11;5
feeds;1;1
feel;24;16
feeling;14;12
feelings;14;13
feels;8;8
fees;27;15
feet;31;15
fegyelemkozpontu;1;1
fegyelmezetlenek;1;1
fegyelmezett;1;1
fegyelmezettvalasztopolgarok;1;1
fegyelmi;1;1
fegyvere;4;4
fegyverek;5;3
fegyvereket;2;2
fegyveres;10;8
fegyveresek;1;1
fegyveresekjatsszak;1;1
fegyveresen;1;1
fegyveret;4;3
fegyveretvalasztotta;1;1
fegyverinterju;1;1
fegyverkent;1;1
fegyverkereskedelemmel;1;1
fegyvernek;1;1
fegyverrel;9;4
fegyverszuneti;1;1
fegyvert;7;6
fegyvertelen;2;1
fegyvertszallitott;1;1
fegyverzetek;1;1
fegyverzettel;2;2
feh;3;2
fehe;1;1
feher;27;6
feherek;2;1
feherekre;2;1
fehergalleros;1;1
feherkenyer;1;1
feherorosz;2;2
feheroroszorszag;1;1
feherre;2;1
fehervarcsurgon;2;2
fehervarott;1;1
fehl;1;1
fehlen;1;1
feighan;5;5
feigning;1;1
fein;1;1
feinberges;1;1
feingold;5;5
feinstein;1;1
feisty;1;1
feith;4;4
fej;3;3
feje;5;5
fejeben;5;5
fejebenszuletett;1;1
fejed;1;1
fejedet;1;1
fejek;1;1
fejen;1;1
fejenkent;1;1
fejer;2;2
fejere;2;2
fejeseknek;1;1
fejet;6;5
fejetol;3;2
fejezet;1;1
fejezetben;1;1
fejezetenek;1;1
fejezett;2;1
fejezetunkben;1;1
fejezi;3;3
fejezik;1;1
fejezni;3;2
fejezodhetett;1;1
fejezodik;4;3
fejezodott;1;1
fejezodtek;1;1
fejezte;8;7
fejeztek;1;1
fejeztem;1;1
fejezze;1;1
fejezzem;1;1
fejjel;2;2
fejlem;1;1
fejlemenyeit;1;1
fejlemenyek;1;1
fejlemenyeket;1;1
fejlemenyekkel;1;1
fejlemenyektol;1;1
fejlemenyre;1;1
fejleszt;1;1
fejleszteni;6;5
fejlesztes;3;2
fejlesztesben;1;1
fejlesztese;6;4
fejleszteseben;1;1
fejleszteseert;1;1
fejleszteseket;1;1
fejlesztesenek;1;1
fejlesztesere;2;2
fejleszteset;6;4
fejlesztesi;6;6
fejlesztesikormanybiztos;1;1
fejlesztesre;3;3
fejlesztesreegyertelmuen;1;1
fejlesztest;1;1
fejlesztettek;1;1
fejlesztettem;1;1
fejleszti;1;1
fejlesztik;10;1
fejleszto;1;1
fejlett;6;6
fejlettebb;2;2
fejlettek;1;1
fejlettsege;1;1
fejlettsegi;1;1
fejlodes;3;3
fejlodesben;1;1
fejlodese;2;2
fejlodesehez;1;1
fejlodesenek;1;1
fejlodeset;3;3
fejlodesi;3;2
fejlodesnek;1;1
fejlodesuk;1;1
fejlodhetett;1;1
fejlodo;2;2
fejnek;1;1
fejostehen;1;1
fejreallitott;1;1
fejteget;1;1
fejtegette;1;1
fejtegettema;1;1
fejtetore;1;1
fejtette;2;2
fejtettek;1;1
fejthessenek;1;1
fejthettek;1;1
fejti;2;1
fejuk;1;1
fejukbe;1;1
fejukben;1;1
fejuket;1;1
fejukre;1;1
fejunket;3;3
fekely;1;1
fekentartasarol;1;1
fekero;1;1
fekete;24;10
feketegazdasag;16;10
feketegazdasagelleni;1;1
feketegazdasaggal;1;1
feketegazdasagnakkomoly;1;1
feketegazdasagot;1;1
feketegazdasagutan;1;1
feketek;2;1
feketelistajat;1;1
feketelistarol;1;1
feketemunka;1;1
feketemunkasokkal;1;1
feketen;1;1
feketepiac;2;1
feketepiacrol;1;1
feketeszfera;1;1
feketet;1;1
fekezte;1;1
fekezzek;1;1
fekszik;2;2
fektelen;2;2
fektetnek;2;2
fektette;1;1
fektol;1;1
fekvestol;1;1
fekvo;1;1
fekvobeteg;3;3
fel;282;42
fela;4;1
felada;1;1
feladasat;4;2
feladat;7;7
feladata;21;14
feladatai;1;1
feladataikat;2;2
feladatainakvegrehajtasara;1;1
feladatait;4;3
feladatarol;2;1
feladatkoret;2;1
feladatkorok;2;1
feladatnaklatszik;1;1
feladatok;12;10
feladatokat;2;2
feladatokkal;1;1
feladatokra;1;1
feladatom;2;2
feladatot;9;7
feladatra;2;2
feladattal;1;1
feladatuk;3;2
feladatunk;1;1
feladni;2;2
felado;1;1
feladt;1;1
feladta;1;1
felajanlanunk;1;1
felajanlas;1;1
felajanlasaikat;1;1
felajanlasaval;1;1
felajanlasokra;1;1
felajanlasom;1;1
felajanlasukra;1;1
felajanlom;2;2
felajanlott;3;2
felaldozasat;1;1
felaldozni;1;1
felaldozza;1;1
felallas;2;2
felallitando;2;2
felallitandonyomozohivatal;1;1
felallitani;2;2
felallitasa;7;5
felallitasanak;2;2
felallitasara;2;2
felallitasarol;4;4
felallitasat;2;2
felallitott;2;2
felallt;2;2
felaron;1;1
felavatasa;1;1
felavatta;1;1
felaz;1;1
felb;1;1
felbecs;1;1
felbemaradt;1;1
felbolygatta;1;1
felbomlasztasara;1;1
felbomloban;1;1
felbontva;1;1
felboritjaadossagcsapdaja;1;1
felborult;1;1
felbujtokent;1;1
felbukkannak;1;1
felbukkanno;1;1
felbukkano;1;1
felcser;2;2
felcserelnenk;1;1
felcserjei;1;1
felcserseget;1;1
felcsersegrol;1;1
feld;2;2
felderites;1;1
felderitesere;1;1
felderitesevel;1;1
felderitesi;1;1
felderitesiaranya;1;1
felderitest;1;1
felderito;1;1
felderitse;1;1
felderitsek;1;1
feldmajer;8;2
feldmajerpeter;1;1
feldolgozni;1;1
feldolgoztak;1;1
feldolgoztatott;1;1
feldspar;4;4
felduhito;1;1
felduhodott;6;1
feldult;1;1
feldultak;1;1
fele;84;31
feleannyi;1;1
feleben;5;5
felebredni;2;2
felebredt;1;1
felebredve;1;1
feledekenyseget;1;1
feledesbe;1;1
feledjuk;2;2
feledve;1;1
feleekkora;1;1
felefordulni;1;1
felegyulolettorveny;1;1
felehez;2;2
felei;1;1
felejtette;2;2
felejtettem;1;1
felejtik;1;1
felejts;1;1
felejtsetek;1;1
felejtsuk;2;2
felejtve;1;1
felejuk;1;1
felek;73;8
felekesites;1;1
felekesitesere;1;1
felekesitette;1;1
feleket;1;1
felekezet;2;1
felekezeteitol;1;1
felekezetet;3;2
felekezeti;2;2
felekezetivagy;1;1
feleknek;1;1
felel;16;11
feleledhetnek;1;1
felelem;3;3
felelemben;1;1
felelemerzete;1;1
felelemkeltesre;1;1
felelemkeltessegitsegevel;1;1
felelemmentes;1;1
felelemre;1;1
feleleszteni;1;1
feleleveniti;1;1
felelhetik;1;1
feleli;1;1
felelik;2;2
feleljenek;1;1
felelme;1;1
felelmeben;1;1
felelmeit;1;1
felelmetes;2;2
felelmunket;1;1
felelnek;1;1
felelni;2;2
felelo;1;1
feleloen;1;1
felelos;18;12
felelose;2;1
felelosei;1;1
felelosek;2;2
felelosekazert;1;1
felelosen;1;1
feleloset;1;1
feleloskent;1;1
feleloskormanyunk;1;1
felelosnek;1;1
felelosok;1;1
felelosokellen;1;1
felelosoketbortonbe;1;1
felelospolitikusa;1;1
felelospolitikusok;1;1
felelosse;2;2
felelosseg;8;7
felelossege;3;3
felelosseget;11;7
felelosseggel;2;2
felelossegre;4;4
felelossegrevonas;2;2
felelossegrevonasa;1;1
felelossegrevonasanak;1;1
felelossegrevonassal;1;1
felelossegrevonastszorgalmazta;1;1
felelossegteljesen;1;1
felelossegu;1;1
felelossegunk;1;1
felelotlen;10;7
felelotlenebb;1;1
felelotlennek;2;2
felelotlensegnektartja;1;1
felelotlenulelmulasztottatok;1;1
felelt;1;1
felelte;3;3
felemelese;2;2
felemeleseceljabol;1;1
felemelesendolgoztak;1;1
felemelesenek;1;1
felemeleset;3;2
felemelesevel;1;1
felemeli;1;1
felemelkedes;2;1
felemelkedeset;1;1
felemelkedesevel;1;1
felemelkedesre;2;2
felemelkedhet;1;1
felemelkedni;1;1
felemelni;2;2
felemelo;1;1
felemelte;1;1
felemeltek;1;1
felemlitve;1;1
felenek;2;2
felenel;1;1
felenie;1;1
feleorientalodunk;1;1
felepitenek;1;1
felepiteni;2;2
felepitese;1;1
felepiteseben;1;1
felepitesenek;1;1
felepitesere;2;2
felepiteset;1;1
felepitettek;1;1
felepiti;1;1
felepitik;1;1
felepito;1;1
felepulni;1;1
feler;1;1
felere;3;3
felerecsokkent;1;1
felerositik;1;1
felertekelodik;1;1
felesajtokampanyok;1;1
felesben;1;1
felesege;5;4
felesegek;1;1
felesegem;2;2
felesegemet;1;1
felesegere;1;1
feleseget;3;1
felesegevel;1;1
feleseggel;1;1
feleskudnie;1;1
feleskudott;1;1
felesleges;8;7
feleslegesen;2;2
feleslegesnek;2;2
feleslegesse;1;1
felet;8;7
feletortenetet;1;1
felett;9;8
felette;1;1
feletti;5;4
felettiparancsuralom;1;1
felettonallosodnak;1;1
feletttovabbi;1;1
felev;1;1
felevaltozatat;1;1
felevben;2;2
felevel;1;1
feleves;2;2
felevszazad;1;1
felevszazada;1;1
felezer;3;3
felfalja;1;1
felfedesehez;2;2
felfedesetol;1;1
felfedezni;2;2
felfedezve;1;1
felfedi;1;1
felfegyverzett;1;1
felfejlesztese;1;1
felfele;1;1
felfigyelt;1;1
felfogas;2;2
felfogasnak;1;1
felfogasoknak;1;1
felfogasra;1;1
felfoghatjuk;1;1
felfoghatna;1;1
felfoghato;2;2
felfogni;1;1
felfokozasaval;1;1
felfordulas;1;1
felforgat;1;1
felfuggessze;1;1
felfuggesztesere;1;1
felfuggeszteserol;1;1
felfuggeszteset;1;1
felfuggesztett;1;1
felfuggesztette;1;1
felfuggesztettek;2;2
felfuggesztheto;1;1
felfujt;2;2
felfujtlegbuborek;1;1
felgengauer;1;1
felgloriazott;1;1
felgongyolitesbol;1;1
felgyogyul;1;1
felgyorsult;2;2
felgyujtottuk;1;1
felh;3;1
felhaborito;1;1
felhaboritonak;3;2
felhaboritotta;1;1
felhaborodas;1;1
felhaborodast;1;1
felhaborodoknak;1;1
felhaborodott;1;1
felhaborodva;1;1
felhagyni;1;1
felhagyva;1;1
felhajto;1;1
felhalmozasanak;1;1
felhalmozasra;2;2
felhalmozodasa;1;1
felhalmozott;5;4
felhangzani;1;1
felhasznalanak;1;1
felhasznalando;1;1
felhasznalasa;1;1
felhasznalasanak;1;1
felhasznalasara;1;1
felhasznalasarol;2;2
felhasznalasat;1;1
felhasznalasaval;1;1
felhasznalason;1;1
felhasznalast;1;1
felhasznalhassa;1;1
felhasznalhato;1;1
felhasznalja;1;1
felhasznaljak;1;1
felhasznalni;3;3
felhasznaloja;1;1
felhasznalva;1;1
felhatalmazas;1;1
felhatalmazasabol;1;1
felhatalmazasnelkul;1;1
felhatalmazassal;1;1
felhatalmazast;2;2
felhatalmazastarra;1;1
felhatalmazna;1;1
felhatalmazni;1;1
felhatalmazott;1;1
felhatalmazta;2;2
felheccelt;1;1
felhivas;5;5
felhivasa;2;2
felhivasara;1;1
felhivasat;1;1
felhivasban;1;1
felhivassal;1;1
felhivassalfordultak;1;1
felhivast;2;2
felhivasukat;1;1
felhivhatta;1;1
felhivja;5;4
felhivjak;4;3
felhivjuk;3;3
felhivni;1;1
felhivo;1;1
felhivott;1;1
felhivta;13;10
felhivtak;3;3
felhivva;1;1
felho;2;1
felhok;1;1
felhozott;1;1
felhuztak;1;1
felid;1;1
felidei;1;1
felidejeben;1;1
felidezesevel;1;1
felido;1;1
felidoben;1;1
felig;3;2
feligazsagokkorpajaval;1;1
felindulasaban;1;1
felindult;1;1
felindultan;1;1
felindulva;1;1
felinformaciot;1;1
felirat;2;2
feliratat;1;1
feliratfeltartasaval;1;1
feliratok;1;1
feliratokatleptek;1;1
feliratot;1;1
feliratra;1;1
feliratu;1;1
felismeres;2;2
felismerese;3;3
felismeresekbol;1;1
felismerhetosege;1;1
felismeri;1;1
felismerik;1;1
felismerje;1;1
felismerjem;1;1
felismerjuk;1;1
felismerni;1;1
felismernie;1;1
felismero;1;1
felismert;2;2
felismertek;1;1
felivelo;2;1
felix;7;4
feljavitas;1;1
feljavito;1;1
feljebblatszik;1;1
feljebbszoktunk;1;1
feljegyzesekkozul;1;1
feljelent;1;1
feljelenteset;1;1
feljelentesre;1;1
feljelentest;5;5
feljelentette;1;1
feljelentettek;1;1
feljelenti;1;1
feljen;1;1
feljogositana;1;1
feljogosito;3;2
feljogositott;1;1
felk;4;4
felkaptak;1;1
felkarnyujtasnyira;1;1
felkarolta;1;1
felkel;3;2
felkelnek;1;1
felkelt;2;2
felkeltes;1;1
felkeltette;1;1
felkerem;1;1
felkeres;1;1
felkeresere;1;1
felkereso;2;1
felkerest;1;1
felkereste;1;1
felkerheti;1;1
felkeri;1;1
felkert;1;1
felkerte;3;3
felkertek;1;1
felkerulnek;1;1
felkerunk;1;1
felkesziteset;1;1
felkeszitesukreforditott;1;1
felkeszules;4;3
felkeszuleset;1;1
felkeszulest;1;1
felkeszuletlen;1;1
felkeszultsege;1;1
felkeszultsegu;1;1
felkeszulve;1;1
felkialtojelet;1;1
felkohogese;2;1
felkomfortra;1;1
felkonzervativ;1;1
felkotik;1;1
felkuszott;1;1
felkutatasan;1;1
fell;17;10
fellaz;2;1
fellebbezesi;1;1
fellebbezi;1;1
fellegvaraival;1;1
fellelheto;3;3
fellendules;1;1
fellendulesuk;1;1
fellenduloben;1;1
fellendult;1;1
fellep;1;1
fellepes;2;1
fellepese;1;1
fellepeseit;1;1
fellepeset;1;1
fellepessel;1;1
fellepessellehetnek;1;1
fellepest;2;2
fellepett;1;1
fellephetnek;1;1
fellepni;3;3
fellepnihatarozott;1;1
fellepo;2;2
fellow;12;7
fellowbug;1;1
fellows;3;3
fellowship;3;3
fellowships;2;1
felm;2;2
felmagasztalasaval;1;1
felmelegitese;1;1
felmentes;1;1
felmentese;1;1
felmenteset;1;1
felmentessel;1;1
felmentette;1;1
felmento;1;1
felmentve;1;1
felmer;1;1
felmeres;7;6
felmeresbol;3;2
felmerese;7;6
felmeresei;1;1
felmeresek;2;2
felmeresenek;1;1
felmereserea;1;1
felmereset;2;1
felmeresszerint;1;1
felmerest;2;2
felmerik;1;1
felmerje;1;1
felmerni;1;1
felmerte;1;1
felmerul;2;1
felmerulhetett;1;1
felmerulo;2;2
felmerult;4;4
felmilliard;1;1
felmilliardos;1;1
felmillio;2;2
felminosit;1;1
felmondanank;1;1
felmondasi;3;2
felmondasok;1;1
felmondat;1;1
felmondatban;1;1
felmondatot;1;1
felmondatott;1;1
felmondattal;1;1
felmondattalis;1;1
felmondhato;2;1
felmondolevelet;1;1
felmondott;1;1
felmorzsolodott;1;1
felmutatasa;1;1
felmutatni;1;1
felmutato;2;2
felmutatofiatalok;1;1
felmutatott;1;1
felmutatva;1;1
felmuveltseg;1;1
felnek;7;5
felneveledett;1;1
felnevelt;1;1
felni;2;2
felnitole;1;1
felniuk;1;1
felnott;3;3
felnotteknel;1;1
felnovekvo;1;1
felnunk;1;1
felny;1;1
felo;5;5
felol;3;2
feloldalas;1;1
feloldani;2;2
feloldotta;1;1
feloleli;1;1
feloluk;1;1
felolvasni;1;1
felolvasta;2;1
felonek;1;1
felonies;24;3
felonious;1;1
felony;21;5
felora;1;1
feloras;1;1
felos;1;1
feloszlatasat;1;1
feloszlattuk;1;1
felosztani;1;1
felosztasarol;1;1
felosztast;1;1
feloszto;3;2
felosztotta;2;2
felotlott;2;2
felpercnyi;1;1
felpiszkalt;1;1
felporgeset;1;1
felporgetesevel;1;1
felpuhitasat;1;1
felpumpalt;1;1
felpumpaltak;1;1
felrazza;1;1
felre;4;4
felreallitottak;1;1
felreertelmezeset;1;1
felreertelmeznek;1;1
felreertes;2;2
felreertesek;1;1
felreerteseket;1;1
felreertesre;1;1
felreertest;1;1
felreertheto;1;1
felreismerhetetlen;1;1
felremagyaraztak;1;1
felremlik;1;1
felrerugasaert;2;1
felresopresere;1;1
felretajekoztatas;1;1
felretajekoztatasanak;1;1
felretajekoztatta;1;1
felretenni;2;2
felrevezeteseben;1;1
felrevezetesere;1;1
felrevezetesiszandek;1;1
felrevezetni;1;1
felrevezeto;3;3
felrevezette;2;2
felrobbanasat;1;1
felrobbant;2;1
felrohato;1;1
felroppent;1;1
felroppentett;1;1
felrugasa;3;2
felrugtak;1;1
felrugva;1;1
fels;1;1
felse;1;1
felseg;1;1
felsege;1;1
felseges;1;1
felsegjelzesu;1;1
felso;11;9
felsobb;2;1
felsobbrendu;1;1
felsobbrendusegi;1;1
felsobbsegen;1;1
felsobbsegtudat;1;1
felsofoku;5;4
felsohaz;1;1
felsohaznak;1;1
felsokgyermekes;1;1
felsooktatasban;3;3
felsooktatasi;24;10
felsooktatasitorveny;1;1
felsooktatasra;1;1
felsooktatastol;1;1
felsorakozni;1;1
felsorakozott;2;2
felsorakoztak;1;1
felsoresz;1;1
felsorolasbol;1;1
felsorolja;2;2
felsorolnam;1;1
felsorolni;1;1
felsorolt;4;3
felsoroltakat;1;1
felsoroltakkal;1;1
felsosoku;1;1
felsoszintuoktatas;1;1
felsotanacs;1;1
felsz;4;1
felszabad;1;1
felszabaditasakor;1;1
felszabaditasara;1;1
felszabaditjak;1;1
felszabaditokra;1;1
felszabaditottak;1;1
felszabadulasanak;1;1
felszabadulaskent;1;1
felszabadulni;1;1
felszabdaltak;1;1
felszamlazas;1;1
felszamolas;3;1
felszamolasa;5;4
felszamolasaa;1;1
felszamolasara;1;1
felszamolasarol;1;1
felszamolasi;2;1
felszamolasokra;1;1
felszamolni;2;2
felszamoloja;2;1
felszazalekos;2;2
felszer;1;1
felszereles;1;1
felszerelesek;1;1
felszerelessel;1;1
felszerelnek;1;1
felszerelnunk;1;1
felszerelt;2;2
felszerelve;2;2
felszine;1;1
felszinen;2;2
felszines;2;2
felszini;3;2
felszinre;2;2
felszokik;1;1
felszolalas;1;1
felszolalasa;1;1
felszolalasaban;2;2
felszolalasabanosszeadhatatlan;1;1
felszolalasanyoman;1;1
felszolalasara;2;2
felszolalasarol;1;1
felszolalasban;1;1
felszolalasok;1;1
felszolalasokat;2;1
felszolalhat;1;1
felszolalnanak;1;1
felszolalni;1;1
felszolalo;2;2
felszolaloiegyetertettek;1;1
felszolalok;4;3
felszolalokent;1;1
felszolaltaz;1;1
felszolitas;1;1
felszolitja;1;1
felszolitjak;2;2
felszolitotta;4;3
felt;15;11
feltalalasa;1;1
feltalalni;1;1
feltalaloinak;1;1
feltamadas;2;1
feltamadasaban;1;1
feltamadasban;1;1
feltamadott;1;1
feltamasztott;1;1
feltapaszkodik;1;1
feltapaszkodtunk;1;1
feltarasa;1;1
feltarasara;1;1
feltarasra;1;1
feltarni;2;2
feltartak;1;1
feltartott;1;1
feltartoztatasaval;1;1
felteheto;1;1
feltehetoen;6;5
feltehetoleg;1;1
feltek;4;4
feltenni;1;1
felterjesztened;1;1
felteszi;2;2
felteszunk;1;1
feltetel;2;1
feltetele;8;6
feltetelei;2;2
felteteleinek;5;4
felteteleit;2;2
feltetelek;10;10
feltetelekellenere;1;1
feltetelekent;1;1
felteteleket;12;9
felteteleketaz;2;1
feltetelektisztazasarol;1;1
feltetelektitkossaga;1;1
feltetelet;2;2
felteteleul;2;2
feltetelezem;1;1
feltetelezes;2;2
feltetelezesek;3;3
feltetelezeseket;1;1
feltetelezeseszerint;1;1
feltetelezett;2;2
feltetelezettnel;1;1
feltetelezik;1;1
feltetelezne;1;1
feltetelezo;1;1
feltetellel;3;3
feltetelrendszert;1;1
feltetelul;1;1
feltetlen;2;2
feltetlenragaszkodas;1;1
feltetlenul;6;6
feltett;3;3
feltette;1;1
feltettem;1;1
felteve;1;1
felti;3;2
feltik;2;2
feltitkos;1;1
feltokesitette;1;1
feltol;1;1
feltoltodo;1;1
feltorese;1;1
feltornasztuk;1;1
feltucatizraeli;1;1
feltucatnyi;1;1
feltunes;1;1
feltunik;2;1
feltunobaratkozas;1;1
feltunonek;1;1
feltunt;1;1
feltuntetni;1;1
feltuntettuk;1;1
feltunuen;1;1
felugrott;1;1
felugyeletehez;1;1
felugyeletet;1;1
felugyelne;1;1
felugyelo;4;4
felugyelobizottsag;1;1
felugyelok;1;1
felugyelonek;2;2
felugyelt;1;1
felujitas;1;1
felujitasarol;1;1
felujitast;1;1
felujitott;1;1
felul;8;7
felulbiralja;1;1
felulemelkedjenek;1;1
feluletes;3;3
feluliek;2;1
felulmul;1;1
felulmulja;1;1
felulmuloan;1;1
felulrol;5;5
felulvizsgalasa;2;2
felulvizsgalata;1;1
felulvizsgalatara;1;1
felulvizsgalatat;3;3
felulvizsgalati;2;1
felulvizsgalatra;1;1
felulvizsgaljak;2;2
feluyelo;1;1
felv;3;1
felvallalna;2;2
felvallrol;1;1
felvalo;1;1
felvalto;1;1
felvaltva;1;1
felvasarlasara;2;1
felvasarolni;1;1
felvasaroltak;1;1
felvasaroltatni;1;1
felvenne;1;1
felvenni;9;6
felveszi;1;1
felveszik;1;1
felvet;2;2
felvetel;6;4
felvetele;3;3
felvetelek;3;3
felvetelekhosszu;1;1
felvetelekre;1;1
felvetelenek;2;2
felvetelerol;1;1
felvetelerolaz;1;1
felvetelet;3;3
felvetelethagyta;1;1
felvetelevel;1;1
felvetelhez;1;1
felveteli;2;2
felvetelikikoteseknek;1;1
felvetelre;1;1
felvetelt;2;2
felveteluket;1;1
felvetelunk;1;1
felvetelunkrol;1;1
felvetese;1;1
felvetessel;1;1
felvetett;1;1
felvetette;2;2
felvetettek;3;3
felvetettvisszaelesekre;1;1
felvethette;1;1
felveti;3;3
felvetodik;1;1
felvetodott;1;1
felvett;5;3
felvette;3;3
felvettek;1;1
felvettkolcsonok;1;1
felvettuk;1;1
felvezetojeben;1;1
felvid;4;2
felvide;1;1
felvidek;14;12
felvideken;1;1
felvideki;4;3
felvidekunkszlovakia;1;1
felvilagositast;2;2
felvilagosodas;1;1
felvillantson;1;1
felvonulo;1;1
felzabalja;1;1
felzarkozasanak;1;1
felzarkozasrol;1;1
felzarkozo;1;1
felzarkoztatas;1;1
felzarkoztatasaert;1;1
felzsido;1;1
felzsidok;1;1
felzsidozik;1;1
felzsidozott;1;1
felzsidozza;1;1
felzudulas;2;2
felzudulast;1;1
fem;1;1
fema;1;1
female;43;28
females;3;3
feminine;6;5
feminism;6;5
feminist;5;5
feminists;1;1
feminity;1;1
feminizmus;1;1
femjelzett;5;4
femme;1;1
femmes;1;1
femmuveknel;1;1
femmuvektol;1;1
femszalakba;1;1
femtechnika;1;1
femurs;1;1
fenalloinflaciohoz;1;1
fencing;3;1
fending;1;1
feneken;1;1
fenekukkel;1;1
fenevadakat;2;2
fenevadjai;1;1
fenians;2;1
fenimore;4;1
fenn;11;9
fennakadas;1;1
fennakadtak;1;1
fennall;5;4
fennallo;4;4
fennalloinflaciot;1;1
fennhangon;1;1
fennhatosaga;1;1
fennkolt;1;1
fennmarad;1;1
fennmaradasaert;1;1
fennmaradasat;4;4
fennmaradjon;1;1
fennmaradna;1;1
fennmaradnak;1;1
fennmarado;1;1
fenno;1;1
fennt;2;2
fenntart;4;2
fenntartani;3;3
fenntartas;2;2
fenntartasa;4;3
fenntartasahoz;1;1
fenntartasanak;1;1
fenntartasara;3;3
fenntartasarol;1;1
fenntartasat;1;1
fenntartasra;1;1
fenntartast;1;1
fenntartasuk;1;1
fenntarthato;3;3
fenntartjak;2;1
fenntartoi;1;1
fenntartoja;2;2
fenntartott;2;2
fenntartsa;1;1
fennteml;1;1
fenntrat;1;1
fenomen;2;1
fenris;2;1
fent;12;10
fentebb;2;2
fenti;22;16
fentiek;4;2
fentiekben;1;1
fentiekbol;1;1
fentieknek;1;1
fentiekre;3;3
fentiektol;1;1
fentikerdes;1;1
fentire;1;1
fenwick;7;7
fenyeben;4;4
fenyebennezi;1;1
fenyegesse;1;1
fenyeget;5;5
fenyegetes;3;3
fenyegetesei;1;1
fenyegeteseifelebresztik;1;1
fenyegetesek;1;1
fenyegetestol;1;1
fenyegetett;1;1
fenyegetetts;1;1
fenyegetettseg;1;1
fenyegetettseget;3;2
fenyegeti;6;5
fenyegetik;3;3
fenyegeto;6;6
fenyegetodzott;1;1
fenyegetoveszellye;1;1
fenyegetozes;1;1
fenyegetozott;2;1
fenyegette;1;1
fenyegetve;1;1
fenyes;6;5
fenyesunnepsegek;1;1
fenyet;1;1
fenykepe;2;2
fenykepebol;1;1
fenykepen;1;1
fenykepet;5;4
fenykepezni;1;1
fenykepfelvetel;1;1
fenykeppel;1;1
fenykoraban;1;1
fenymasolatat;1;1
fenyo;1;1
fenyogerendaerdok;1;1
fenyszedo;1;1
fenyt;3;2
fenyuzo;1;1
fenyvesi;2;2
fenyvessyzoltan;1;1
fer;3;3
fera;2;2
feras;4;4
ferd;1;1
ferden;2;1
ferdinand;3;3
ferdit;1;1
fereg;2;2
feregnek;1;1
feregtelenitesnel;1;1
ferenc;46;19
ferenccel;1;1
ferences;2;1
ferencestemplom;1;1
ferencet;3;3
ferenchazaszeretete;1;1
ferencnek;1;1
ferencnemzeti;1;1
ferencv;1;1
ferencvaros;2;1
ferfi;23;10
ferfiaink;1;1
ferfiak;5;4
ferfiakba;1;1
ferfiakvilagelsok;1;1
ferfiasan;2;2
ferfilakossagat;1;1
ferfit;2;2
ferfiut;1;1
fergek;7;5
fergeknek;1;1
fergektol;1;1
fergese;1;1
ferguson;2;1
ferhetett;1;1
feri;1;1
ferikevel;1;1
ferje;3;3
ferjenek;1;1
ferjet;1;1
ferjetol;1;1
ferjuk;1;1
ferment;1;1
fermentas;1;1
fermented;1;1
fermis;1;1
fernando;1;1
ferndown;4;4
fernex;1;1
fernley;1;1
feros;2;2
ferranti;2;1
ferraro;6;6
ferre;2;1
ferrero;1;1
ferris;3;3
ferrocarril;1;1
ferry;3;2
fertelmes;1;1
fertigen;1;1
fertile;3;3
fertility;8;6
fertilization;3;2
fertobe;1;1
fertotlenitesi;1;1
fertozes;11;3
fertozeset;1;1
fertozesnek;1;1
fertozest;2;1
fertozesveszely;1;1
fertozott;11;4
fertozottek;2;1
fertozottet;1;1
fervent;1;1
fervor;3;3
fervour;1;1
fes;2;2
fested;1;1
festeket;1;1
festeni;1;1
festetich;1;1
festival;1;1
festivals;1;1
festomuveszno;1;1
feszegetesere;1;1
feszek;1;1
feszekre;1;1
feszelyezve;1;1
feszito;1;1
feszitsuk;2;1
feszittetett;1;1
feszke;2;2
fesztival;1;1
feszul;1;1
feszulet;1;1
feszuletet;2;1
feszult;3;3
feszultseg;3;3
feszultsegek;4;3
feszultsegekaran;1;1
feszultseget;4;3
feszultsegkelto;1;1
feszultsegnek;2;1
fetal;7;4
fetch;1;1
fetishes;1;1
fetus;8;6
fetuses;2;2
feud;1;1
feudal;4;2
feudalis;2;2
feudalism;5;5
feudalizmus;1;1
feuds;1;1
feudum;1;1
feut;4;4
fever;2;1
few;87;52
fewer;10;8
ffa;3;3
ffcrc;1;1
ffentliches;1;1
ffi;3;3
ffje;1;1
ffp;5;3
fgg;2;2
fgi;2;2
fgm;1;1
fgsd;1;1
fh;26;5
